Provinsi,2022,2023,2024
Aceh,976434,966417,659969.05
Bali,-,-,17
Banten,40474,53108,30965.17
Bengkulu,216184,215200,169233.09
DI Yogyakarta,441985,336651,453980.74
DKI Jakarta,2,-,120.6
Gorontalo,12469,446,5770.47
Jambi,1566369,936891,1703414.68
Jawa Barat,1862975,1956968,1800944.66
Jawa Tengah,1883106,1364381,1610360.95
Jawa Timur,299407,307317,371350.9
Kalimantan Barat,5407,8260,6696.21
Kalimantan Selatan,22873,22829,28900.2
Kalimantan Tengah,3782,3528,2297.1
Kalimantan Timur,36473,36498,37790.29
Kalimantan Utara,12992,8114,26341.27
Kepulauan Bangka Belitung,63139,52461,77745.34
Kepulauan Riau,28853,25087,40587.68
Lampung,218783,227202,212322.05
Maluku,14740,23471,17059.1
Maluku Utara,54203,37084,55502.92
Nusa Tenggara Barat,51165,60224,57033.72
Nusa Tenggara Timur,18891,21679,14126.35
Papua,1066,440,506.1
Papua Barat,1361,4974,306.73
Papua Barat Daya,6951,,3484.96
Papua Pegunungan,-,,-
Papua Selatan,96,,4.8
Papua Tengah,3010,,5934
Riau,86397,107892,79071
Sulawesi Barat,11661,10840,8087.12
Sulawesi Selatan,41631,32743,70287.07
Sulawesi Tengah,65171,47167,69115.09
Sulawesi Tenggara,16853,10659,17092.18
Sulawesi Utara,80115,70570,48613.56
Sumatera Barat,1274499,1235035,1141695.55
Sumatera Selatan,122586,136292,109846.74
Sumatera Utara,2052475,1853392,1916636.2
