Provinsi,latitude,longitude
Aceh  ,4.695135,96.7493993
Bali  ,-8.4095178,115.188916
Banten  ,-6.4058172,106.0640179
Bengkulu  ,-3.5778471,102.3463875
DI Yogyakarta ,-7.8753849,110.4262088
DKI Jakarta ,-6.211544,106.845172
Gorontalo  ,0.6999372,122.4467238
Jambi  ,-1.4851831,102.4380581
Jawa Barat ,-7.090911,107.668887
Jawa Tengah ,-7.150975,110.1402594
Jawa Timur ,-7.5360639,112.2384017
Kalimantan Barat ,-0.2787808,111.4752851
Kalimantan Selatan ,-3.0926415,115.2837585
Kalimantan Tengah ,-1.6814878,113.3823545
Kalimantan Timur ,1.6406296,116.419389
Kalimantan Utara,3.0730929,116.0413889
Kepulauan Bangka Belitung,-2.7410513,106.4405872
Kepulauan Riau ,3.9456514,108.1428669
Lampung  ,-4.5585849,105.4068079
Maluku  ,-3.2384616,130.1452734
Maluku Utara ,1.5709993,127.8087693
Nusa Tenggara Barat,-8.6529334,117.3616476
Nusa Tenggara Timur,-8.6573819,121.0793705
Papua  ,-4.269928,138.0803529
Papua Barat ,-1.3361154,133.1747162
Papua Barat Daya,-1.09856,131.3525336
Papua Pegunungan,-4.2478013,139.3725476 
Papua Selatan,-6.839345,38.616673
Papua Tengah,-3.54016,135.55511
Riau  ,0.2933469,101.7068294
Sulawesi Barat ,-2.8441371,119.2320784
Sulawesi Selatan ,-3.6687994,119.9740534
Sulawesi Tengah ,-1.4300254,121.4456179
Sulawesi Tenggara ,-4.14491,122.174605
Sulawesi Utara ,0.6246932,123.9750018
Sumatera Barat ,-0.7399397,100.8000051
Sumatera Selatan ,-3.3194374,103.914399
Sumatera Utara ,2.1153547,99.5450974
